title,genre,rating
Zetsuen no Tempest,"['Anime', 'Hành động', 'Viễn tưởng', 'Siêu nhiên', 'Shounen', 'Bi kịch']","['9.3', '413']"
Gokukoku No Brynhildr,"['Anime', 'Viễn tưởng', 'Bí ẩn', 'Drama', 'Bi kịch']","['9.3', '301']"
Akame ga Kill!,"['Anime', 'Hành động', 'Viễn tưởng', 'Phiêu lưu', 'Bi kịch']","['9.4', '1357']"
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II","['Anime', 'Hành động', 'Giả tưởng', 'Học đường']","['8.8', '536']"
Kimetsu no Yaiba: Hashira Geiko-hen,"['Anime', 'Hành động', 'Giả tưởng', 'Lịch sử', 'Shounen']","['9.5', '466']"
Sentai Daishikkaku,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen']","['8.1', '102']"
Re:Monster,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu']","['8.1', '315']"
Shaman King: Flowers,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu năng lực', 'Shounen', 'Phiêu lưu']","['4.8', '40']"
Thời Đại Vũ Trụ Lớn,"['Hành động', 'Giả tưởng', 'CN Animation', 'Khoa huyễn']","['5.4', '50']"
Gekai Elise,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng']","['7.5', '57']"
Nanatsu no Taizai: Mokushiroku no Yonkishi,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Phiêu lưu']","['5.6', '129']"
Shangri-La Frontier,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['9.3', '504']"
Mashle 2nd Season,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Học đường']","['9.2', '310']"
Ragna Crimson,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Drama', 'Phiêu lưu']","['9.1', '427']"
Shoshimin: How to Become Ordinary,"['Anime', 'Học đường', 'Đời thường']","['7.2', '49']"
Boukyaku Battery (TV),"['Anime', 'Học đường', 'Thể thao']","['5.5', '25']"
Madogiwa no Totto-chan,"['Anime', 'Học đường', 'Đời thường', 'Lịch sử', 'Drama']","['9.0', '12']"
Wind Breaker,"['Anime', 'Hành động', 'Học đường']","['8.3', '214']"
Kenka Dokugaku,"['Anime', 'Hành động', 'Học đường', 'Võ thuật']","['8.6', '120']"
Blue Archive The Animation,"['Anime', 'Hành động', 'Học đường']","['8.5', '135']"
Hibike! Euphonium 3,"['Anime', 'Học đường', 'Âm nhạc', 'Drama']","['7.7', '23']"
Shigatsu wa Kimi no Uso,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Âm nhạc']","['9.6', '2128']"
Shigatsu wa Kimi no Uso OVA,"['Âm nhạc', 'Anime', 'Tình cảm', 'Học đường', 'Shounen', 'Drama']","['8.4', '167']"
Boku no Kokoro no Yabai Yatsu Season 2,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Shounen']","['9.1', '302']"
Jaku-Chara Tomozaki-kun 2nd Stage,"['Anime', 'Tình cảm', 'Học đường', 'Drama']","['7.9', '107']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,"['Anime', 'Học đường', 'Psychological', 'Drama']","['9.2', '350']"
Oroka na Tenshi wa Akuma to Odoru,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Siêu nhiên']","['7.9', '183']"
Yuru Camp△ Season 3,"['Anime', 'Đời thường']","['7.9', '42']"
"Tadaima, Okaer","['Anime', 'Đời thường', 'Shoujo', 'Drama']","['5.8', '50']"
Tonari no Youkai-san,"['Anime', 'Đời thường', 'Siêu nhiên']","['6.4', '22']"
Rinkai,"['Anime', 'Đời thường', 'Thể thao']","['3.7', '30']"
Rising Impact,"['Anime', 'Đời thường', 'Thể thao']","['4.6', '15']"
Kuroshitsuji: Kishuku Gakkou-hen,"['Anime', 'Hành động', 'Đời thường', 'Lịch sử', 'Shounen']","['7.6', '60']"
Bartender: Kami no Glass,"['Anime', 'Đời thường', 'Âm nhạc', 'Drama']","['6.8', '57']"
Dog Signal,"['Anime', 'Hài hước', 'Đời thường']","['3.2', '38']"
Megumi no Daigo: Kyuukoku no Orange,"['Anime', 'Hành động', 'Đời thường', 'Drama']","['5.4', '41']"
Yubisaki to Renren,"['Anime', 'Tình cảm', 'Đời thường', 'Shoujo']","['7.9', '86']"
Atarashii Joushi wa Do Tennen,"['Anime', 'Hài hước', 'Đời thường']","['7.8', '37']"
The First Slam Dunk,"['Anime', 'Học đường', 'Đời thường', 'Thể thao']","['8.6', '13']"
Nhật Ký Thường Ngày Của Tiên Vương Phần 4,"['Giả tưởng', 'Học đường', 'Đời thường', 'Siêu năng lực', 'CN Animation', '[CNA] Hài hước']","['8.6', '172']"
Kawagoe Boys Sing,"['Anime', 'Đời thường', 'Âm nhạc']","['4.2', '17']"
16bit Sensation Another Layer,"['Anime', 'Hài hước', 'Đời thường']","['6.8', '41']"
Baki Hanma VS Kengan Ashura,"['Anime', 'Hành động', 'Võ thuật']","['8.9', '32']"
Dragon Ball Heroes,"['Anime', 'Hành động', 'Hài hước', 'Võ thuật', 'Giả tưởng', 'Siêu nhiên', 'Shounen']","['8.2', '2544']"
Rurouni Kenshin (2023),"['Anime', 'Hành động', 'Tình cảm', 'Võ thuật', 'Lịch sử', 'Shounen']","['7.9', '66']"
Baki Hanma (Season 2),"['Anime', 'Hành động', 'Võ thuật', 'Shounen']","['9.4', '91']"
Toàn Chức Pháp Sư 6,"['Hành động', 'Học đường', 'Đời thường', 'Võ thuật', 'CN Animation']","['8.7', '179']"
Majutsushi Orphen Hagure Tabi: Urbanrama-hen (Ss3),"['Anime', 'Hành động', 'Giả tưởng', 'Võ thuật', 'Drama', 'Phiêu lưu']","['4.0', '49']"
Mou Ippon!,"['Anime', 'Học đường', 'Võ thuật', 'Thể thao']","['4.7', '62']"
Boruto: Naruto Next Generations,"['Anime', 'Hành động', 'Võ thuật', 'Phiêu lưu', 'Shounen', 'Siêu năng lực']","['7.6', '8304']"
Phong Tư Vật Ngữ: Tiên La,"['Võ thuật', 'CN Animation', 'Kiếm hiệp', 'Huyền ảo']","['7.4', '156']"
Dragon Quest: Dai no Daibouken,"['Anime', 'Hành động', 'Phiêu lưu', 'Siêu nhiên', 'Shounen', 'Demon', 'Võ thuật']","['8.2', '284']"
Tekken: Bloodline,"['Anime', 'Hành động', 'Võ thuật', 'Siêu năng lực']","['3.1', '29']"
Shin Ikkitousen,"['Anime', 'Hành động', 'Võ thuật', 'Siêu năng lực', 'Seinen']","['3.7', '34']"
Shenmue the Animation,"['Anime', 'Hành động', 'Võ thuật', 'Phiêu lưu']","['6.3', '37']"
Dragon Ball Super Movie: Broly,"['Anime', 'Hành động', 'Hài hước', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Shounen', 'Siêu năng lực']","['9.1', '343']"
Ikkitousen: Western Wolves,"['Anime', 'Hành động', 'Học đường', 'Võ thuật', 'Siêu năng lực', 'Seinen']","['6.6', '21']"
Baki Hanma,"['Anime', 'Hành động', 'Võ thuật', 'Shounen']","['8.7', '125']"
Tenka Hyakken: Meiji-kan e Youkoso!,"['Anime', 'Hành động', 'Lịch sử', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Siêu nhiên']","['8.2', '105']"
Gibiate,"['Anime', 'Hành động', 'Viễn tưởng', 'Võ thuật', 'Kinh dị', 'Samurai']","['8.0', '126']"
The God of High School,"['Anime', 'Hành động', 'Hài hước', 'Viễn tưởng', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Siêu nhiên']","['9.5', '1181']"
Baki 2nd Season,"['Anime', 'Hành động', 'Võ thuật', 'Shounen']","['8.7', '142']"
Majutsushi Orphen Hagure Tabi,"['Anime', 'Hành động', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Drama']","['7.3', '179']"
Kengan Ashura 2nd Season,"['Anime', 'Hành động', 'Võ thuật']","['8.6', '92']"
One Piece: Stampede,"['Anime', 'Hành động', 'Hài hước', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu']","['9.7', '319']"
Kengan Ashura,"['Anime', 'Hành động', 'Võ thuật']","['9.1', '196']"
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,"['Anime', 'Hành động', 'Hài hước', 'Võ thuật', 'Phiêu lưu', 'Siêu nhiên', 'Shounen', 'Demon']","['6.9', '29']"
Hinomaruzumou,"['Anime', 'Võ thuật', 'Shounen', 'Thể thao']","['9.2', '1014']"
Ken En Ken: Aoki Kagayaki,"['Anime', 'Hành động', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Demon']","['8.5', '1254']"
